asin,name,link,price,no_of_rating,rating
B07PMQTB6T,"Dell Pro Slim Backpack 15 - PO1520PS - Fits Most laptops up to 38.1 cm (15 inches, Black)",amazon.in/sspa/click?ie=UTF8&spc=MToxNDEzMDgyNDIzMTk1OTg5OjE2Nzk0Mjk3NzI6c3BfYXRmOjIwMTI0MTk3MjQ5Mjk4OjowOjo&url=%2FDell-Pro-Slim-Backpack-15%2Fdp%2FB07PMQTB6T%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679429772%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"1,599",(399),4.3
B08YP5Y5PR,"MY FAV Printed Laptop Bag Backpack/ Casual School College Bag/ Sports Backpack for Boys/Girls, Outdoor Travel Lightweight Bag (30 L)",amazon.in/sspa/click?ie=UTF8&spc=MToxNDEzMDgyNDIzMTk1OTg5OjE2Nzk0Mjk3NzI6c3BfYXRmOjIwMTMyMTM3OTE1Njk4OjowOjo&url=%2FPrint-Laptop-Backpack-Women-School%2Fdp%2FB08YP5Y5PR%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679429772%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DAFQ57W5ZS8I5V,899,(2),5.0
B07CJCGM1M,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),amazon.in/gp/bestsellers/luggage/ref=sr_bs_2_luggage_1,"1,199","(52,313)",4.0
B084JGJ8PF,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_3_1375464031_1,565,"(9,817)",4.3
B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1679429772&sprefix=ba%2Caps%2C283&sr=8-5,499,(567),3.8
B097RJ22Q3,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1679429772&sprefix=ba%2Caps%2C283&sr=8-6,949,"(6,308)",3.9
B08Z1HHHTD,Skybags Brat Black 46 Cms Casual Backpack,amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=ice_ac_b_dpb?crid=2M096C61O4MLT&keywords=bags&qid=1679429772&sprefix=ba%2Caps%2C283&sr=8-7,659,"(3,778)",4.1
B085MHDJ93,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1679429772&sprefix=ba%2Caps%2C283&sr=8-8,689,"(15,254)",3.9
B07Q7CNPMV,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1679429772&sprefix=ba%2Caps%2C283&sr=8-9,299,"(18,019)",4.0
B019HA8AYG,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1679429772&sprefix=ba%2Caps%2C283&sr=8-10,214,"(6,058)",3.7
